Phase,Overall Accuracy,Class 0 Precision,Class 0 Recall,Class 0 F1-Score,Class 1 Precision,Class 1 Recall,Class 1 F1-Score,Confusion Matrix,AUPRC
Test,77.66237461762823,0.9338900209090788,0.7767365611050189,0.8480945297098557,0.4606224410607723,0.7761644947468097,0.578141268934941,"[[70123, 20156], [4964, 17213]]",0.7422589180719202
Test,78.7917052002561,0.935605712861808,0.7902059172121978,0.8567808416602614,0.47689673267600186,0.7785994498805068,0.5914976705946835,"[[71339, 18940], [4910, 17267]]",0.7559820058756708
Test,73.45183894145265,0.9022902796271638,0.7505842997817875,0.8194752659043772,0.39723203769140164,0.6691166523876088,0.4985134295264811,"[[67762, 22517], [7338, 14839]]",0.5672630325635483
Test,75.62691185886035,0.9267349044309297,0.756178070204588,0.8328138438359673,0.4325634151371417,0.7566397619154981,0.5504436680936213,"[[68267, 22012], [5397, 16780]]",0.6739759602027466
Test,78.74724336629437,0.9349583906690256,0.7902391475315411,0.8565288383037987,0.4761694005698321,0.7762095865085449,0.5902482512686874,"[[71342, 18937], [4963, 17214]]",0.7519747427412855
Test,72.90140143700647,0.9034172928780541,0.7417450348364515,0.8146372915171348,0.3917773198027809,0.6771880777381972,0.49638076351016364,"[[66964, 23315], [7159, 15018]]",0.5619991564352356
Test,80.75869673472292,0.895429354901893,0.8608535761362,0.8778011204481793,0.5105015002143163,0.5907471704919511,0.5477006688963211,"[[77717, 12562], [9076, 13101]]",0.6526026641842542
Test,76.37031372270043,0.9181171405318842,0.7747538187175312,0.8403650104228618,0.43940563489000384,0.7187175902962529,0.545379890848745,"[[69944, 20335], [6238, 15939]]",0.6658124581794581
Test,73.37180764032155,0.9023017629957593,0.749454468924113,0.8188061598039512,0.39634374165999464,0.6696577535284304,0.4979630157426191,"[[67660, 22619], [7326, 14851]]",0.5645558796740274
Test,78.44312442199616,0.9317780596566019,0.789264391497469,0.8546206896551725,0.4713074892316243,0.7647562790278216,0.5831986520408514,"[[71254, 19025], [5217, 16960]]",0.7435785428143757
Test,79.96905456356264,0.9325671965779225,0.8089810476412012,0.8663890767168464,0.49488884332620603,0.7618704062767733,0.6000213075748428,"[[73034, 17245], [5281, 16896]]",0.7568069208215538
Test,73.35046596001992,0.902732517762701,0.7487123251254445,0.8185401592443462,0.396327833954231,0.671596699283041,0.49848553307562293,"[[67593, 22686], [7283, 14894]]",0.5859190385966264
Test,75.04801878067866,0.925010587865623,0.7499861540336069,0.8283540091511904,0.42507450520899664,0.752491319835866,0.5432645354515268,"[[67708, 22571], [5489, 16688]]",0.6708229175844711
Test,80.86362666287259,0.9288913284846367,0.8247654493293014,0.8737370774123141,0.5101712233334366,0.7429769581097534,0.6049491500532365,"[[74459, 15820], [5700, 16477]]",0.7546272111674978
Test,73.2393113751156,0.9041594477349343,0.7456994428383124,0.8173198329448329,0.3958262059527882,0.6782251882581053,0.49990029247540546,"[[67321, 22958], [7136, 15041]]",0.5896619915576367
Test,75.97727111047877,0.9147915027537372,0.7727378460107002,0.837785743879812,0.4331694109846392,0.7069937322451189,0.5372004180014733,"[[69762, 20517], [6498, 15679]]",0.6483827416603223
Test,76.63530625311232,0.9203047018649856,0.7761716456761816,0.8421153834598213,0.44357858795021476,0.7263831897912252,0.5508009505410904,"[[70072, 20207], [6068, 16109]]",0.6722323793813769
Test,75.5246496407484,0.8971282479654732,0.7851549086720057,0.8374150865378935,0.4200627896546569,0.6334941606168553,0.5051598288447018,"[[70883, 19396], [8128, 14049]]",0.588235136304295
Test,77.95849043181333,0.9350471635445728,0.7795943685685486,0.8502739370216673,0.46490614747485615,0.7795463768769446,0.582450347859778,"[[70381, 19898], [4889, 17288]]",0.7486442629231511
Test,80.90631002347585,0.9296516928302924,0.8245549906401267,0.8739551047243355,0.5108853410740203,0.7459981061460071,0.6064516129032258,"[[74440, 15839], [5633, 16544]]",0.7569546515432385
Test,75.78341751440564,0.9030043467143953,0.7823857153933916,0.8383788627825685,0.4261595980838883,0.6578888037155611,0.5172566606987751,"[[70633, 19646], [7587, 14590]]",0.6309972817213103
Test,75.40993810912713,0.9386557211700101,0.7421991825341442,0.8289466359030824,0.43333657966497857,0.8025431753618614,0.5627915065850844,"[[67005, 23274], [4379, 17798]]",0.7470064179277253
Test,77.9371487515117,0.9384761700645645,0.7760498011719226,0.8495692190162066,0.46516057351462886,0.7928935383505433,0.5863385518264727,"[[70061, 20218], [4593, 17584]]",0.7555790155675506
Test,74.5909511275521,0.9039078353079794,0.764795799687635,0.8285532568521097,0.4113276593385268,0.6690264688641385,0.5094423842878726,"[[69045, 21234], [7340, 14837]]",0.6242394786960525
Test,74.50291669630789,0.9244357483396257,0.7431407082488729,0.8239332404069928,0.4185597512662354,0.7527167786445417,0.53797192993764,"[[67090, 23189], [5484, 16693]]",0.662983829715558
Test,79.24432666998649,0.9307242870379904,0.8010833084105938,0.8610514159170869,0.48325276243093923,0.7572710465797898,0.5899980677686241,"[[72321, 17958], [5383, 16794]]",0.7450727565711309
Test,74.021839652842,0.9024795349389014,0.7583491177350214,0.8241603466955579,0.40385298538051645,0.6664111466835009,0.5029265636697747,"[[68463, 21816], [7398, 14779]]",0.6011910569969712
Test,82.01340968912285,0.9235308343409916,0.8459996233897141,0.8830667306436042,0.5327665008737733,0.7148396987870316,0.6105173974159013,"[[76376, 13903], [6324, 15853]]",0.7493768560837977
Test,82.67322330511489,0.9225498388444551,0.8560351798314115,0.8880487678757132,0.5469218434079341,0.7074446498624701,0.6169120972022885,"[[77282, 12997], [6488, 15689]]",0.7548728433695286
